ENSBTAG00000017942	ENSBTAT00000056382#CRTC2
ENSBTAG00000006611	ENSBTAT00000066921#NUP93
ENSBTAG00000008902	ENSBTAT00000091854#ZNF345
ENSBTAG00000011832	NM_001046181#ALDH18A1
ENSBTAG00000021490	XM_010801649#WDR4
ENSBTAG00000011730	ENSBTAT00000015579#TCAP
ENSBTAG00000012784	XM_005206354#RACGAP1
ENSBTAG00000004458	ENSBTAT00000110661#MORN3
ENSBTAG00000002347	XM_005208542#MAST3
ENSBTAG00000034875	XM_059887701#ALPK1
ENSBTAG00000017573	XM_059892286#RBM26
ENSBTAG00000047997	ENSBTAT00000070007#PRPS2
ENSBTAG00000009430	XM_002696924#MYRIP
ENSBTAG00000018488	ENSBTAT00000124992#AFF1
ENSBTAG00000013183	ENSBTAT00000017548#COL23A1
ENSBTAG00000069699	ENSBTAT00000093509#ENSBTAG00000069699
ENSBTAG00000034493	XM_005223264#ILRUN
ENSBTAG00000003960	ENSBTAT00000005166#CCP110
ENSBTAG00000059763	ENSBTAT00000131567#ENSBTAG00000059763
XM_059889846	XM_059889846#SAMD5
ENSBTAG00000051102	ENSBTAT00000075452#KCNK3
ENSBTAG00000067290	ENSBTAT00000121744#ENSBTAG00000067290
ENSBTAG00000003530	ENSBTAT00000074495#DDX31
ENSBTAG00000058898	ENSBTAT00000103266#ENSBTAG00000058898
ENSBTAG00000013123	ENSBTAT00000017442#PHB2
ENSBTAG00000026286	ENSBTAT00000098699#GTF2IRD2
ENSBTAG00000049490	ENSBTAT00000123171#RABGAP1L
ENSBTAG00000006679	XM_024982417#MITF
ENSBTAG00000014558	NM_001083527#DDX21
ENSBTAG00000020233	ENSBTAT00000031607#CCDC186
ENSBTAG00000012341	XM_025000323#CSNK2A1
ENSBTAG00000037907	ENSBTAT00000094623#DSEL
ENSBTAG00000011941	NM_001077829#LYZF1
ENSBTAG00000004321	ENSBTAT00000115963#SFXN2
ENSBTAG00000001081	XM_002689443#PALLD
ENSBTAG00000039593	XM_002694971#FAM98C
ENSBTAG00000006806	NM_001105322#KRT17
ENSBTAG00000030784	ENSBTAT00000135842#APPL2
ENSBTAG00000017744	ENSBTAT00000057329#FAF2
ENSBTAG00000006214	NM_001099053#LOXL2
ENSBTAG00000009482	XM_005209304#AFF4
ENSBTAG00000011628	XM_002696890#EGFR
ENSBTAG00000070025	ENSBTAT00000107617#ENSBTAG00000070025
ENSBTAG00000015434	ENSBTAT00000020512#DSTN
ENSBTAG00000011589	XM_024995731#CDC14B
ENSBTAG00000007235	ENSBTAT00000009516#NTNG2
ENSBTAG00000037929	XM_010808061#ENSBTAG00000037929
ENSBTAG00000007441	NM_001192959#SEC23IP
ENSBTAG00000001475	ENSBTAT00000125931#MCUR1
ENSBTAG00000008238	ENSBTAT00000010838#S100A7
ENSBTAG00000027612	XM_005216225#PPME1
ENSBTAG00000055311	ENSBTAT00000114396#ENSBTAG00000055311
ENSBTAG00000007646	XM_059883895#PIGA
ENSBTAG00000052511	XM_059887254#ENSBTAG00000052511
ENSBTAG00000001349	ENSBTAT00000001780#KIF1C
ENSBTAG00000008017	XM_024982109#UNC79
ENSBTAG00000021764	ENSBTAT00000029010#GLRB
ENSBTAG00000001657	XM_024987086#PICALM
ENSBTAG00000016613	ENSBTAT00000090377#KCNH6
ENSBTAG00000010176	NM_001075655#ILKAP
ENSBTAG00000024105	XM_024998421#BCL2L11
ENSBTAG00000006991	ENSBTAT00000080455#ADH6
ENSBTAG00000015054	NM_174291#CRYGD
ENSBTAG00000008555	ENSBTAT00000011278#P2RY10
ENSBTAG00000001686	ENSBTAT00000002199#LRRC52
ENSBTAG00000062291	ENSBTAT00000097410#POLE4
ENSBTAG00000021856	ENSBTAT00000076779#R3HCC1L
ENSBTAG00000008990	NM_001034691#DRG1
ENSBTAG00000022150	ENSBTAT00000029882#MXRA5
ENSBTAG00000010546	XM_059887303#LIN54
ENSBTAG00000031682	ENSBTAT00000013807#ZNF484
ENSBTAG00000047572	XM_024985079#ZNF789
ENSBTAG00000021416	XM_005226426#PRXL2A
ENSBTAG00000053991	ENSBTAT00000086022#ENSBTAG00000053991
ENSBTAG00000068922	ENSBTAT00000115020#SKOR1
ENSBTAG00000058127	ENSBTAT00000110217#ENSBTAG00000058127
ENSBTAG00000050838	XM_015458489#ENSBTAG00000050838
ENSBTAG00000009226	XM_005223305#SCUBE3
ENSBTAG00000022801	XM_024997555#GABPB1
ENSBTAG00000008033	ENSBTAT00000108757#PPP6C
ENSBTAG00000030929	ENSBTAT00000043771#ENSBTAG00000030929
ENSBTAG00000008373	XM_059882736#ITGA10
ENSBTAG00000063393	ENSBTAT00000120817#ENSBTAG00000063393
ENSBTAG00000007639	ENSBTAT00000122811#SDAD1
ENSBTAG00000055539	ENSBTAT00000121030#ENSBTAG00000055539
ENSBTAG00000005412	XM_059881096#NEDD4L
ENSBTAG00000027341	XM_024991196#ENSBTAG00000027341
ENSBTAG00000024643	ENSBTAT00000095955#VEPH1
ENSBTAG00000002950	ENSBTAT00000003842#TMEM132D
ENSBTAG00000069568	ENSBTAT00000088082#ENSBTAG00000069568
ENSBTAG00000014956	NM_001046031#JSRP1
ENSBTAG00000008511	ENSBTAT00000011218#PPP4R3C
ENSBTAG00000021778	ENSBTAT00000029033#SELENON
ENSBTAG00000009308	XM_005213542#TDRD3
ENSBTAG00000025659	ENSBTAT00000036255#ZNF618
ENSBTAG00000018227	ENSBTAT00000082580#SLC4A7
ENSBTAG00000064042	ENSBTAT00000115292#CH25H
ENSBTAG00000066843	ENSBTAT00000104011#ENSBTAG00000066843
ENSBTAG00000000418	XM_002694777#TOX3
ENSBTAG00000015459	XM_005204161#KCNA2
ENSBTAG00000006666	XM_059876142#NAA25
ENSBTAG00000018019	XM_024982138#BCL11B
ENSBTAG00000010826	ENSBTAT00000072455#EMSY
ENSBTAG00000006666	ENSBTAT00000107972#NAA25
ENSBTAG00000025149	NM_001076500#RPAIN
XM_024990986	XM_024990986#LOC100139363
ENSBTAG00000062799	ENSBTAT00000115680#ENSBTAG00000062799
ENSBTAG00000009139	ENSBTAT00000086706#LDLRAD4
ENSBTAG00000053079	XM_059879067#RNF228
XM_015475237	XM_015475237#LOC107133242
ENSBTAG00000013776	NM_001076282#ITPA
ENSBTAG00000051021	ENSBTAT00000127377#FASTKD5
ENSBTAG00000039260	ENSBTAT00000079195#RPTN
ENSBTAG00000047845	ENSBTAT00000065988#ENSBTAG00000047845
ENSBTAG00000004861	XM_002693065#EIF3F
