LOC135326608	XM_064504424.1#LOC135326608
LOC112994745	XM_064504104.1#LOC112994745
LOC135326148	XM_064503997.1#LOC135326148
LOC135326148	XM_064503995.1#LOC135326148
LOC112992175	XM_064503992.1#LOC112992175
LOC112992175	XM_064503990.1#LOC112992175
LOC135325729	XM_064503727.1#LOC135325729
LOC135325729	XM_064503726.1#LOC135325729
LOC135325522	XM_064503649.1#LOC135325522
LIPE	XM_064503563.1#LIPE
MARK2	XM_064503152.1#MARK2
MARK2	XM_064503150.1#MARK2
KAT5	XM_064503165.1#KAT5
LOC135324877	XM_064501903.1#LOC135324877
LOC135324964	XM_064502175.1#LOC135324964
LOC135325126	XM_064502729.1#LOC135325126
LOC135323446	XM_064502146.1#LOC135323446
LOC135323446	XM_064502150.1#LOC135323446
LOC135323496	XM_064502434.1#LOC135323496
LOC112992468	XM_026115575.2#LOC112992468
LOC135325128	XM_064502734.1#LOC135325128
LOC135325128	XM_064502733.1#LOC135325128
LOC135325065	XM_064502521.1#LOC135325065
LOC135324731	XM_064501603.1#LOC135324731
LOC135324636	XM_064501282.1#LOC135324636
LOC135324636	XM_064501283.1#LOC135324636
LOC112987049	XM_064502535.1#LOC112987049
LOC135323438	XM_064502825.1#LOC135323438
LOC135325149	XM_064502832.1#LOC135325149
LOC112988727	XM_064502137.1#LOC112988727
LOC112988725	XM_064501366.1#LOC112988725
LOC112991895	XM_026114756.2#LOC112991895
LOC112991895	XM_026114750.2#LOC112991895
LOC112991895	XM_026114741.2#LOC112991895
LOC112991895	XM_064502580.1#LOC112991895
LOC112991959	XM_064502860.1#LOC112991959
LOC112992054	XM_064501469.1#LOC112992054
LOC135325170	XM_064502911.1#LOC135325170
LOC135325170	XM_064502909.1#LOC135325170
LOC135325170	XM_064502913.1#LOC135325170
LOC135325170	XM_064502910.1#LOC135325170
LOC135323506	XM_064502057.1#LOC135323506
LOC135323506	XM_064502060.1#LOC135323506
LOC135323506	XM_064502059.1#LOC135323506
LOC135323506	XM_064502063.1#LOC135323506
MCC	XM_026120083.2#MCC
TRIM36	XM_064502797.1#TRIM36
AP3S1	XM_064502445.1#AP3S1
LOC112978767	XM_064501417.1#LOC112978767
LOC135325137	XM_064502775.1#LOC135325137
LOC135325137	XM_064502777.1#LOC135325137
LOC135324718	XM_064501550.1#LOC135324718
LOC112983255	XM_026100248.2#LOC112983255
APBA1	XM_064502454.1#APBA1
TJP2	XM_064501747.1#TJP2
BNC2	XM_064501845.1#BNC2
KDM4C	XM_064502924.1#KDM4C
TOPORS	XM_064502866.1#TOPORS
NRG1	XM_064501184.1#NRG1
SMARCA2	XM_064501868.1#SMARCA2
SLC16A13	XM_064501064.1#SLC16A13
LOC112985186	XM_064500254.1#LOC112985186
LOC112985184	XM_064500417.1#LOC112985184
LOC112994500	XM_064500926.1#LOC112994500
LOC112994452	XM_026118802.2#LOC112994452
LOC112994452	XM_064500463.1#LOC112994452
LOC112983589	XM_026100809.2#LOC112983589
LOC135323453	XM_064501030.1#LOC135323453
LOC112995763	XM_064500645.1#LOC112995763
LOC112995763	XM_064500644.1#LOC112995763
ADAMTS6	XM_064500710.1#ADAMTS6
LOC112987088	XM_064499748.1#LOC112987088
LOC112987088	XM_064499749.1#LOC112987088
LOC135324441	XM_064500766.1#LOC135324441
LOC112987058	XM_026106741.2#LOC112987058
LOC112987059	XM_026106746.2#LOC112987059
LOC135323527	XM_064500457.1#LOC135323527
LOC112983661	XM_064500029.1#LOC112983661
LOC135323497	XM_064500798.1#LOC135323497
LOC135323497	XM_064500796.1#LOC135323497
LOC135323497	XM_064500795.1#LOC135323497
LOC135323497	XM_064500797.1#LOC135323497
LOC135324126	XM_064499670.1#LOC135324126
LOC112980274	XM_064499851.1#LOC112980274
LOC112980282	XM_064499676.1#LOC112980282
LOC112980282	XM_064499674.1#LOC112980282
LOC112980282	XM_064499678.1#LOC112980282
LOC112980282	XM_064499675.1#LOC112980282
LOC112992423	XM_026115488.2#LOC112992423
LOC112992421	XM_064500325.1#LOC112992421
LOC112992421	XM_064500328.1#LOC112992421
LOC112992421	XM_064500327.1#LOC112992421
LOC112992421	XM_064500330.1#LOC112992421
LOC135323433	XM_064499778.1#LOC135323433
LOC112985815	XM_026104719.2#LOC112985815
LOC112985808	XM_064500666.1#LOC112985808
LOC135323457	XM_064499990.1#LOC135323457
LOC135323468	XM_064499820.1#LOC135323468
LOC112978792	XM_064500852.1#LOC112978792
LOC112978792	XM_064500854.1#LOC112978792
LOC112978753	XM_064500548.1#LOC112978753
LOC135324187	XM_064499919.1#LOC135324187
SLC44A2	XM_064499392.1#SLC44A2
SLC44A2	XM_064499393.1#SLC44A2
ILF3	XM_064499388.1#ILF3
ILF3	XM_064499389.1#ILF3
MRI1	XM_064499223.1#MRI1
BRD4	XM_064499242.1#BRD4
POGZ	XM_026114935.2#POGZ
SNX27	XM_026114937.2#SNX27
TDRKH	XM_026121359.2#TDRKH
TDRKH	XM_026121358.2#TDRKH
NIT1	XM_064498986.1#NIT1
TOMM40L	XM_064498881.1#TOMM40L
PRUNE1	XM_064499145.1#PRUNE1
PIAS3	XM_064498835.1#PIAS3
HAPLN2	XM_064499008.1#HAPLN2
LOC135323862	XM_064498865.1#LOC135323862
ILF2	XM_026098093.2#ILF2
