SNX24	XM_046905304#SNX24
GRAMD3	XM_025144973#GRAMD3
AP3S1	XM_046905432#AP3S1
TOPORS	XM_004949525#TOPORS
PALM2AKAP2	NM_001396581#PALM2AKAP2
PALM2AKAP2	NM_001396584#PALM2AKAP2
PALM2AKAP2	XM_046905163#PALM2AKAP2
PALM2AKAP2	NM_001396580#PALM2AKAP2
PALM2AKAP2	NM_001396578#PALM2AKAP2
PALM2AKAP2	NM_001396577#PALM2AKAP2
CAST	NM_001398408#CAST
CAST	NM_001398411#CAST
CAST	NM_001398409#CAST
CAST	NM_001398412#CAST
NRG1	XM_015280402#NRG1
NRG1	XM_015280397#NRG1
NRG1	XM_015280404#NRG1
NRG1	XM_015280405#NRG1
NRG1	XM_015280406#NRG1
FAM174A	XM_003643058#FAM174A
FBXL17	XM_413983#FBXL17
LYRM7	XM_040656364#LYRM7
SEMA4D	NM_001398388#SEMA4D
SPIN1	XM_046905202#SPIN1
CDC14B	XM_004949233#CDC14B
CDC14B	XM_004949234#CDC14B
CDC14B	XM_004949237#CDC14B
AOPEP	XM_040656062#AOPEP
AOPEP	XM_046905566#AOPEP
AOPEP	XM_025145254#AOPEP
UBQLN1	XM_025144923#UBQLN1
PRUNE2	XM_046905512#PRUNE2
PCSK5	XM_040655983#PCSK5
PCSK5	XM_424841#PCSK5
APBA1	XM_004949153#APBA1
TJP2	XM_015280243#TJP2
TJP2	XM_015280244#TJP2
BNC2	XM_015280200#BNC2
FREM1	XM_015280194#FREM1
FREM1	XM_046905845#FREM1
KDM4C	XM_046905736#KDM4C
SMARCA2	XM_015280074#SMARCA2
CBWD1	XM_040655580#CBWD1
FAM169A	XM_015277650#FAM169A
AGGF1	XM_004937335#AGGF1
PDE8B	XM_040656091#PDE8B
PDE8B	XM_025144922#PDE8B
SCAMP1	XM_040655483#SCAMP1
MTX3	XM_025144709#MTX3
MTX3	XM_025144708#MTX3
MTX3	XM_040655518#MTX3
MIER3	XM_004937251#MIER3
MIER3	XM_015277580#MIER3
MIER3	XM_046905631#MIER3
GPX8	XM_015277569#GPX8
DAB2	XM_040656555#DAB2
OSMR	XM_046905676#OSMR
TMEM8B	XM_001233114#TMEM8B
KIAA1328	XM_015277302#KIAA1328
CELF4	XM_025144831#CELF4
CELF4	XM_025144829#CELF4
CELF4	XM_015277431#CELF4
CELF4	XM_025144828#CELF4
SLC14A2	XM_015277423#SLC14A2
HAUS1	XM_015277278#HAUS1
PIAS2	XM_015277281#PIAS2
KATNAL2	XM_004949027#KATNAL2
KATNAL2	XM_040656630#KATNAL2
LOC124416941	XM_004948998#LOC124416941
LOC430910	XM_040655271#LOC430910
LOC426615	XM_015300438#LOC426615
LOC426615	XM_015300439#LOC426615
LOC425562	XM_040655154#LOC425562
TBCB	XM_025144518#TBCB
B9D2	XM_025144520#B9D2
LOC107049895	XM_025145634#LOC107049895
POU6F1	XM_046904972#POU6F1
LOC431300	XM_046905034#LOC431300
MYL6	XM_015300304#MYL6
CDK2	NM_001199857#CDK2
PRKAG1	XM_015273811#PRKAG1
VDR	XM_046904948#VDR
SP1	NM_204604#SP1
PCBP2	XM_015300341#PCBP2
PCBP2	XM_015300343#PCBP2
TARBP2	XM_015300348#TARBP2
ATF7	XM_046904994#ATF7
HNRNPA1	NM_001318418#HNRNPA1
PDE1B	XM_025145609#PDE1B
ACVR1B	XM_015300266#ACVR1B
NR4A1	XM_015273518#NR4A1
LOC426820	XM_025145897#LOC426820
LOC101748207	XM_015300602#LOC101748207
BRD4	XM_015272923#BRD4
BRD4	XM_046904770#BRD4
BRD4	XM_015272921#BRD4
S1PR2	XM_040653951#S1PR2
