ENSG00000000003	ENST00000373020.9#TSPAN6
ENSG00000000005	ENST00000373031.5#TNMD
ENSG00000000419	ENST00000371588.10#DPM1
ENSG00000000419	NM_001317036.1#DPM1
ENSG00000000457	ENST00000367771.11#SCYL3
ENSG00000000457	XM_011509801.2#SCYL3
ENSG00000000457	XM_017001863.2#SCYL3
ENSG00000000460	ENST00000359326.9#FIRRM
ENSG00000000460	NM_001366769.1#FIRRM
ENSG00000000460	XM_047424760.1#FIRRM
ENSG00000000938	ENST00000374005.8#FGR
ENSG00000000971	ENST00000367429.9#CFH
ENSG00000000971	ENST00000695970.1#CFH
ENSG00000001036	ENST00000002165.11#FUCA2
ENSG00000001084	ENST00000509541.5#GCLC
ENSG00000001084	ENST00000650454.1#GCLC
ENSG00000001084	NM_001197115.2#GCLC
ENSG00000001167	ENST00000341376.11#NFYA
ENSG00000001167	NM_021705.4#NFYA
ENSG00000001460	ENST00000337248.9#STPG1
ENSG00000001460	ENST00000374409.5#STPG1
ENSG00000001461	ENST00000374399.9#NIPAL3
ENSG00000001461	NM_001322854.2#NIPAL3
ENSG00000001461	NM_001322866.2#NIPAL3
ENSG00000001461	NM_001322868.2#NIPAL3
ENSG00000001497	ENST00000374811.8#LAS1L
ENSG00000001497	ENST00000677969.1#LAS1L
ENSG00000001497	NM_001170649.2#LAS1L
ENSG00000001497	NM_001170650.2#LAS1L
ENSG00000001497	NM_001375328.1#LAS1L
ENSG00000001497	NM_001375333.1#LAS1L
ENSG00000001497	NM_001375334.1#LAS1L
ENSG00000001497	NM_001375337.1#LAS1L
ENSG00000001497	XM_011531045.3#LAS1L
ENSG00000001561	ENST00000321037.5#ENPP4
ENSG00000001617	ENST00000002829.8#SEMA3F
ENSG00000001617	XM_011533998.3#SEMA3F
ENSG00000001617	XM_047448700.1#SEMA3F
ENSG00000001626	ENST00000003084.11#CFTR
ENSG00000001626	ENST00000649781.2#CFTR
ENSG00000001626	ENST00000699602.1#CFTR
ENSG00000001629	ENST00000265742.8#ANKIB1
ENSG00000001630	ENST00000003100.13#CYP51A1
ENSG00000001631	ENST00000394505.7#KRIT1
ENSG00000001631	ENST00000454017.6#KRIT1
ENSG00000001631	NM_001350669.1#KRIT1
ENSG00000001631	NM_001350688.1#KRIT1
ENSG00000002016	ENST00000358495.8#RAD52
ENSG00000002016	XM_017019769.2#RAD52
ENSG00000002016	XM_017019770.2#RAD52
ENSG00000002330	ENST00000309032.8#BAD
ENSG00000002330	NM_004322.3#BAD
ENSG00000002549	ENST00000226299.9#LAP3
ENSG00000002586	ENST00000381192.10#CD99
ENSG00000002586	NM_001122898.3#CD99
ENSG00000002586	NM_001321368.2#CD99
ENSG00000002586	NM_001321369.2#CD99
ENSG00000002586	NM_001321370.2#CD99
ENSG00000002587	ENST00000002596.6#HS3ST1
ENSG00000002587	XM_011513913.4#HS3ST1
ENSG00000002726	ENST00000360937.9#AOC1
ENSG00000002726	ENST00000493429.5#AOC1
ENSG00000002745	ENST00000222462.3#WNT16
ENSG00000002746	ENST00000395891.7#HECW1
ENSG00000002746	NM_001287059.2#HECW1
ENSG00000002746	XM_006715670.4#HECW1
ENSG00000002746	XM_006715671.4#HECW1
ENSG00000002746	XM_047420064.1#HECW1
ENSG00000002822	ENST00000265854.12#MAD1L1
ENSG00000002822	ENST00000406869.5#MAD1L1
ENSG00000002834	ENST00000318008.11#LASP1
ENSG00000002919	ENST00000359238.7#SNX11
ENSG00000002919	XM_005257260.4#SNX11
ENSG00000002919	XM_005257262.4#SNX11
ENSG00000002933	ENST00000004103.8#TMEM176A
ENSG00000002933	ENST00000484928.5#TMEM176A
ENSG00000002933	XM_024446824.2#TMEM176A
ENSG00000003056	ENST00000000412.8#M6PR
ENSG00000003056	ENST00000536844.5#M6PR
ENSG00000003056	XM_047428850.1#M6PR
ENSG00000003096	ENST00000262820.7#KLHL13
ENSG00000003096	ENST00000540167.6#KLHL13
ENSG00000003096	NM_001168299.2#KLHL13
ENSG00000003096	NM_001168300.2#KLHL13
ENSG00000003096	NM_001168301.2#KLHL13
ENSG00000003096	NM_001168303.4#KLHL13
ENSG00000003137	ENST00000001146.7#CYP26B1
ENSG00000003137	NM_001277742.2#CYP26B1
ENSG00000003147	ENST00000402384.8#ICA1
ENSG00000003147	ENST00000406470.6#ICA1
ENSG00000003147	NM_001276478.2#ICA1
ENSG00000003147	NM_001350831.2#ICA1
ENSG00000003147	NM_001350834.2#ICA1
ENSG00000003147	NM_001350838.2#ICA1
ENSG00000003249	ENST00000002501.11#DBNDD1
ENSG00000003393	ENST00000264276.11#ALS2
ENSG00000003393	ENST00000679618.1#ALS2
ENSG00000003393	ENST00000680861.1#ALS2
ENSG00000003393	ENST00000681808.1#ALS2
ENSG00000003393	NM_001410975.1#ALS2
ENSG00000003400	ENST00000286186.11#CASP10
ENSG00000003400	NM_001230.5#CASP10
ENSG00000003402	ENST00000309955.8#CFLAR
ENSG00000003402	NM_001202516.3#CFLAR
ENSG00000003436	ENST00000233156.9#TFPI
ENSG00000003436	XM_047445621.1#TFPI
ENSG00000003509	ENST00000002125.9#NDUFAF7
ENSG00000003509	NM_001350024.2#NDUFAF7
ENSG00000003509	NM_001350025.2#NDUFAF7
ENSG00000003509	NM_001350027.2#NDUFAF7
ENSG00000003756	ENST00000347869.8#RBM5
ENSG00000003756	XM_006712917.3#RBM5
ENSG00000003987	ENST00000180173.10#MTMR7
ENSG00000003989	ENST00000494857.6#SLC7A2
ENSG00000003989	NM_001370337.1#SLC7A2
ENSG00000003989	XM_047422114.1#SLC7A2
ENSG00000004059	ENST00000000233.10#ARF5
ENSG00000004139	ENST00000585482.6#SARM1
ENSG00000004142	ENST00000540200.6#POLDIP2
ENSG00000004399	ENST00000324093.9#PLXND1
ENSG00000004399	XM_011512589.2#PLXND1
ENSG00000004455	ENST00000354858.11#AK2
ENSG00000004455	ENST00000672715.1#AK2
ENSG00000004455	NM_001199199.3#AK2
ENSG00000004455	NM_001319142.3#AK2
ENSG00000004455	NM_013411.5#AK2
ENSG00000004468	ENST00000226279.8#CD38
ENSG00000004478	ENST00000001008.6#FKBP4
ENSG00000004487	ENST00000356634.7#KDM1A
ENSG00000004487	ENST00000400181.9#KDM1A
ENSG00000004487	ENST00000686270.1#KDM1A
ENSG00000004487	ENST00000686771.1#KDM1A
