TIMM10B	XM_054187727.1#TIMM10B
VPS28	XM_054187610.1#VPS28
LOC128903576	XM_054187591.1#LOC128903576
LOC128902435	XM_054185455.1#LOC128902435
LOC128902435	XM_054185453.1#LOC128902435
LOC128902255	XM_054184879.1#LOC128902255
LOC128902255	XM_054184860.1#LOC128902255
LOC128902659	XM_054186024.1#LOC128902659
LOC128902659	XM_054186023.1#LOC128902659
LOC128902464	XM_054185535.1#LOC128902464
CELF4	XM_054185253.1#CELF4
CELF4	XM_054185254.1#CELF4
CELF4	XM_054185256.1#CELF4
CELF4	XM_054185262.1#CELF4
CELF4	XM_054185255.1#CELF4
CELF4	XM_054185264.1#CELF4
CELF4	XM_054185258.1#CELF4
CELF4	XM_054185257.1#CELF4
CELF4	XM_054185265.1#CELF4
UBAP2	XM_054186411.1#UBAP2
UBAP2	XM_054186410.1#UBAP2
UBAP2	XM_054186409.1#UBAP2
UBAP2	XM_054186417.1#UBAP2
SIGMAR1	XM_054186935.1#SIGMAR1
AGXT2	XM_054185614.1#AGXT2
NIPBL	XM_054185785.1#NIPBL
NUP155	XM_054186067.1#NUP155
FYB1	XM_054185700.1#FYB1
ZNF131	XM_054186284.1#ZNF131
MOCS2	XM_054187090.1#MOCS2
GPX8	XM_054185894.1#GPX8
SLC38A9	XM_054185312.1#SLC38A9
RAB3C	XM_054186078.1#RAB3C
ERBIN	XM_054185240.1#ERBIN
CDK7	XM_054185520.1#CDK7
MTX3	XM_054185526.1#MTX3
MTX3	XM_054185527.1#MTX3
AGGF1	XM_054186902.1#AGGF1
ZNG1A	XM_054184714.1#ZNG1A
KANK1	XM_054185619.1#KANK1
SMARCA2	XM_054186648.1#SMARCA2
SMARCA2	XM_054186647.1#SMARCA2
FREM1	XM_054186537.1#FREM1
FREM1	XM_054186532.1#FREM1
PCSK5	XM_054184938.1#PCSK5
PCSK5	XM_054184937.1#PCSK5
LOC128902316	XM_054185082.1#LOC128902316
LOC128902316	XM_054185085.1#LOC128902316
LOC128902316	XM_054185084.1#LOC128902316
DAPK1	XM_054185411.1#DAPK1
FANCC	XM_054186776.1#FANCC
ERCC6L2	XM_054184971.1#ERCC6L2
CDC14B	XM_054187079.1#CDC14B
CDC14B	XM_054187078.1#CDC14B
CDC14B	XM_054187072.1#CDC14B
CDC14B	XM_054187071.1#CDC14B
SEMA4D	XM_054186002.1#SEMA4D
SEMA4D	XM_054186000.1#SEMA4D
GNE	XM_054185110.1#GNE
LOC128902495	XM_054185641.1#LOC128902495
MCC	XM_054186294.1#MCC
TRIM36	XM_054186634.1#TRIM36
AP3S1	XM_054186947.1#AP3S1
AP3S1	XM_054186945.1#AP3S1
SMN1	XM_054186360.1#SMN1
TDRD7	XM_054185974.1#TDRD7
TMOD1	XM_054185882.1#TMOD1
ECPAS	XM_054184838.1#ECPAS
RAD17	XM_054184570.1#RAD17
FAM151B	XM_054186197.1#FAM151B
MEF2C	XM_054186968.1#MEF2C
MEF2C	XM_054186966.1#MEF2C
MEF2C	XM_054186969.1#MEF2C
MEF2C	XM_054186967.1#MEF2C
MEF2C	XM_054186952.1#MEF2C
NR2F1	XM_054186861.1#NR2F1
FAM172A	XM_054184758.1#FAM172A
PAX5	XM_054186725.1#PAX5
PAX5	XM_054186723.1#PAX5
LOC128902081	XM_054184435.1#LOC128902081
LOC128901961	XM_054184169.1#LOC128901961
LOC128902031	XM_054184334.1#LOC128902031
LOC128902031	XM_054184333.1#LOC128902031
LOC128902031	XM_054184331.1#LOC128902031
LOC128902031	XM_054184332.1#LOC128902031
LOC128902031	XM_054184330.1#LOC128902031
LOC128902031	XM_054184329.1#LOC128902031
LOC128902028	XM_054184319.1#LOC128902028
LOC128902028	XM_054184318.1#LOC128902028
CWH18orf54	XM_054184463.1#CWH18orf54
LOC128901944	XM_054184114.1#LOC128901944
LOC128901928	XM_054184076.1#LOC128901928
